2025-03-14 12:47:43 WARN  Logging - Value entered: -10; Value must be >= 0 and <= 50!

2025-03-14 12:47:46 ERROR Logging - A non-integer value was entered! Integer values only!
java.lang.NumberFormatException: For input string: "hello"
	at java.base/java.lang.NumberFormatException.forInputString(NumberFormatException.java:67) ~[?:?]
	at java.base/java.lang.Integer.parseInt(Integer.java:662) ~[?:?]
	at java.base/java.lang.Integer.parseInt(Integer.java:778) ~[?:?]
	at com.seminolestate.jared.Logging.parseInt(Logging.java:64) [classes/:?]
	at com.seminolestate.jared.Logging.main(Logging.java:29) [classes/:?]
2025-03-14 12:47:51 INFO  Logging - Value at 40 term: 102334155
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 231 milliseconds
2025-03-14 12:47:52 INFO  Logging - Value at 41 term: 165580141
2025-03-14 12:47:52 INFO  Logging - Time taken to calculate: 370 milliseconds
2025-03-14 12:47:52 INFO  Logging - Value at 42 term: 267914296
2025-03-14 12:47:52 INFO  Logging - Time taken to calculate: 602 milliseconds
2025-03-14 12:47:53 INFO  Logging - Value at 43 term: 433494437
2025-03-14 12:47:53 INFO  Logging - Time taken to calculate: 965 milliseconds
2025-03-14 12:47:55 INFO  Logging - Value at 44 term: 701408733
2025-03-14 12:47:55 INFO  Logging - Time taken to calculate: 1565 milliseconds
2025-03-14 12:47:55 WARN  Logging - Fibonacci calculation term: 44 is causing the program to experience significant slow downs!
2025-03-14 12:47:57 INFO  Logging - Value at 45 term: 1134903170
2025-03-14 12:47:57 INFO  Logging - Time taken to calculate: 2540 milliseconds
2025-03-14 12:47:57 WARN  Logging - Fibonacci calculation term: 45 is causing the program to experience significant slow downs!
2025-03-14 12:48:01 INFO  Logging - Value at 46 term: 1836311903
2025-03-14 12:48:01 INFO  Logging - Time taken to calculate: 4099 milliseconds
2025-03-14 12:48:01 WARN  Logging - Fibonacci calculation term: 46 is causing the program to experience significant slow downs!
2025-03-14 12:48:08 ERROR Logging - Positive integer limit reached at term: 46! Unable to continue parsing, closing program!
